id,school_name,nickname,ranking,owned_id,division_name,conference_name,school_abbrev,conference_abbrev
1,Cincinnati,Bearcats,,,,American Athletic Conference,,AAC
2,East Carolina,Pirates,,,,American Athletic Conference,,AAC
3,Houston,Cougars,,,,American Athletic Conference,,AAC
4,Memphis,Tigers,,,,American Athletic Conference,,AAC
5,Navy,Midshipmen,,,,American Athletic Conference,,AAC
6,Southern Methodist University,Mustangs,,,,American Athletic Conference,SMU,AAC
7,South Florida,Bulls,,,,American Athletic Conference,,AAC
8,Temple,Owls,,,,American Athletic Conference,,AAC
9,Tulane,Green Wave,,,,American Athletic Conference,,AAC
10,Tulsa,Golden Hurricane,,,,American Athletic Conference,,AAC
11,University of Central Florida,Knights,,,,American Athletic Conference,UCF,AAC
12,Appalachian State,Mountaineers,,,East,Sun Belt Conference,,Sun Belt
13,Coastal Carolina,Chanticleers,,,East,Sun Belt Conference,CCU,Sun Belt
14,Georgia Southern,Eagles,,,East,Sun Belt Conference,,Sun Belt
15,Georgia State,Panthers,,,East,Sun Belt Conference,,Sun Belt
16,James Madison,Dukes,,,East,Sun Belt Conference,JMU,Sun Belt
17,Marshall,Thundering Herd,,,East,Sun Belt Conference,,Sun Belt
18,Old Dominion,Monarchs,,,East,Sun Belt Conference,ODU,Sun Belt
19,Arkansas State,Red Wolves,,,West,Sun Belt Conference,,Sun Belt
20,Louisiana,Ragin' Cajuns,,,West,Sun Belt Conference,ULL,Sun Belt
21,Lousiana-Monroe,Warhawks,,,West,Sun Belt Conference,ULM,Sun Belt
22,South Alabama,Jaguars,,,West,Sun Belt Conference,USA,Sun Belt
23,Southern Miss,Golden Eagles,,,West,Sun Belt Conference,,Sun Belt
24,Texas State,Bobcats,,,West,Sun Belt Conference,,Sun Belt
25,Troy,Trojans,,,West,Sun Belt Conference,,Sun Belt
26,Boston College,Eagles,,,Atlantic,Atlantic Coast Conference,,ACC
27,Clemson,Tigers,,,Atlantic,Atlantic Coast Conference,,ACC
